[2024-10-10 12:44:45,519]::2730006395::DEBUG::=============face_key_point+2D Video Vision Transformer Strat!=============
[2024-10-10 16:38:51,198]::3947538980::DEBUG::Epoch: 45 , 1-MAE: 0.8994 , 1-Training Loss: 0.9515 , 1-val_avg_o_loss:0.8972 , 1-val_avg_c_loss:0.8934 , 1-val_avg_e_loss:0.9079 , 1-val_avg_a_loss:0.8968 , 1-val_avg_n_loss:0.9018
[2024-10-10 16:44:06,425]::3947538980::DEBUG::Epoch: 46 , 1-MAE: 0.8973 , 1-Training Loss: 0.9526 , 1-val_avg_o_loss:0.8953 , 1-val_avg_c_loss:0.8912 , 1-val_avg_e_loss:0.9067 , 1-val_avg_a_loss:0.8982 , 1-val_avg_n_loss:0.8951
[2024-10-10 16:49:21,515]::3947538980::DEBUG::Epoch: 47 , 1-MAE: 0.8987 , 1-Training Loss: 0.9536 , 1-val_avg_o_loss:0.8959 , 1-val_avg_c_loss:0.8948 , 1-val_avg_e_loss:0.9044 , 1-val_avg_a_loss:0.8977 , 1-val_avg_n_loss:0.9005
[2024-10-10 16:54:40,931]::3947538980::DEBUG::Epoch: 48 , 1-MAE: 0.8980 , 1-Training Loss: 0.9523 , 1-val_avg_o_loss:0.8965 , 1-val_avg_c_loss:0.8910 , 1-val_avg_e_loss:0.9063 , 1-val_avg_a_loss:0.8956 , 1-val_avg_n_loss:0.9005
[2024-10-10 16:59:59,914]::3947538980::DEBUG::Epoch: 49 , 1-MAE: 0.8968 , 1-Training Loss: 0.9535 , 1-val_avg_o_loss:0.8973 , 1-val_avg_c_loss:0.8940 , 1-val_avg_e_loss:0.9008 , 1-val_avg_a_loss:0.8951 , 1-val_avg_n_loss:0.8969
[2024-10-10 17:05:13,168]::3947538980::DEBUG::Epoch: 50 , 1-MAE: 0.8983 , 1-Training Loss: 0.9538 , 1-val_avg_o_loss:0.8965 , 1-val_avg_c_loss:0.8921 , 1-val_avg_e_loss:0.9028 , 1-val_avg_a_loss:0.8999 , 1-val_avg_n_loss:0.9003
[2024-10-10 17:10:27,448]::3947538980::DEBUG::Epoch: 51 , 1-MAE: 0.8985 , 1-Training Loss: 0.9548 , 1-val_avg_o_loss:0.8979 , 1-val_avg_c_loss:0.8933 , 1-val_avg_e_loss:0.9057 , 1-val_avg_a_loss:0.8955 , 1-val_avg_n_loss:0.8999
[2024-10-10 17:15:39,298]::3947538980::DEBUG::Epoch: 52 , 1-MAE: 0.8977 , 1-Training Loss: 0.9546 , 1-val_avg_o_loss:0.8985 , 1-val_avg_c_loss:0.8912 , 1-val_avg_e_loss:0.9046 , 1-val_avg_a_loss:0.8993 , 1-val_avg_n_loss:0.8950
[2024-10-10 17:20:56,346]::3947538980::DEBUG::Epoch: 53 , 1-MAE: 0.8942 , 1-Training Loss: 0.9549 , 1-val_avg_o_loss:0.8909 , 1-val_avg_c_loss:0.8891 , 1-val_avg_e_loss:0.9060 , 1-val_avg_a_loss:0.8871 , 1-val_avg_n_loss:0.8978
[2024-10-10 17:26:14,715]::3947538980::DEBUG::Epoch: 54 , 1-MAE: 0.8988 , 1-Training Loss: 0.9550 , 1-val_avg_o_loss:0.8997 , 1-val_avg_c_loss:0.8921 , 1-val_avg_e_loss:0.9056 , 1-val_avg_a_loss:0.8978 , 1-val_avg_n_loss:0.8989
